size=100
0, 1, 16
0, 15, 90
0, 5
0, 39
0, 72
1, 25, 73
1, 7
1, 20
1, 29
2, 38, 95
2, 50
3, 32, 60
3, 34, 83
3, 75
4, 27, 91
4, 15
4, 67
5, 63, 99
5, 37
5, 79
6, 44
6, 67
6, 77
6, 78
7, 52, 65
8, 15, 96
8, 60, 70
9, 22, 60
10, 14
10, 17
10, 37
10, 67
10, 85
10, 86
10, 92
11, 15
11, 53
12, 62
13, 17, 71
14, 20, 68
14, 21
15, 21
15, 61
16, 86
17, 52, 77
17, 33
17, 88
18, 61, 64
18, 80
19, 68
19, 69
20, 40
20, 41
20, 52
20, 61
21, 38, 47
21, 40, 94
21, 78, 93
21, 37
22, 53, 78
22, 27
23, 62
24, 68
24, 80
24, 82
25, 39, 99
25, 83
28, 56, 57
29, 35
29, 83
30, 40, 79
30, 34
31, 46, 83
31, 47
32, 97
33, 75
34, 55
35, 36
35, 78
37, 62
37, 71
40, 62, 84
40, 46
41, 45
42, 78, 91
42, 85
43, 71
43, 94
44, 81
45, 62
46, 48
47, 85, 99
48, 53
50, 77, 85
51, 68
52, 78
54, 76, 81
54, 87, 98
54, 75
56, 82
57, 60
58, 60
59, 90
60, 76
60, 79
61, 70
63, 75
63, 97
64, 96
66, 98
67, 82
68, 75
69, 71, 95
69, 74
69, 75
69, 90
70, 99
72, 77
75, 91
75, 94
89, 95
89, 97
91, 97
