size=100
0, 11, 26
0, 15, 18
0, 17
1, 14, 28
1, 16, 26
1, 3
1, 13
2, 22, 29
3, 4, 5
3, 9, 10
4, 12, 16
4, 51
5, 9
5, 23
6, 8, 16
6, 9, 15
6, 11, 21
6, 20, 27
6, 15
7, 18, 23
7, 15
7, 19
8, 18, 23
9, 12, 20
9, 20, 25
9, 18
9, 20
10, 18
12, 27, 28
12, 14
12, 25
12, 26
13, 15, 17
13, 24, 27
13, 28
14, 34, 72
18, 19
18, 24
22, 25, 27
25, 27
32, 58, 59
32, 66
32, 95
34, 36
34, 63
34, 94
36, 69
36, 86
36, 98
37, 60, 68
37, 85
37, 96
37, 98
37, 99
39, 51
39, 55
39, 79
41, 45, 83
42, 74
42, 75
43, 74
44, 69
47, 53
48, 84
49, 50
49, 75
50, 83
50, 90
51, 93
54, 99
55, 78
56, 68
56, 76
57, 60
57, 84
57, 93
58, 85, 92
59, 68, 78
59, 70
64, 95
65, 69
65, 94
67, 90
69, 97
71, 90
72, 74
75, 90
75, 94
75, 98
