size=100
0, 34, 85
0, 63, 94
1, 35, 91
1, 8
3, 10, 63
3, 31, 85
3, 47, 85
3, 67, 85
5, 10, 91
7, 53
8, 34, 85
8, 19
8, 20
8, 39
8, 45
8, 53
8, 60
8, 67
8, 81
8, 85
8, 95
8, 98
9, 85
12, 99
16, 20
16, 40
16, 45
16, 53
16, 76
16, 98
19, 85, 86
19, 40
20, 25
20, 40
20, 45
20, 61
20, 81
24, 40
24, 45
25, 40
26, 72, 85
27, 53
29, 85, 91
29, 60
31, 40, 85
31, 45
31, 53
31, 60
31, 99
34, 85, 93
35, 85, 87
39, 45
39, 53
40, 45
40, 68
40, 76
40, 81
40, 87
40, 99
41, 99
44, 53
45, 53
45, 60
45, 64
45, 96
48, 81
51, 63, 97
53, 67
53, 81
53, 87
53, 98
56, 81
56, 98
58, 85, 88
60, 81
60, 87
63, 82, 85
65, 85, 92
67, 81
72, 85, 93
72, 85, 97
81, 99
85, 88, 91
87, 92
