size=100
0, 34, 93
0, 31, 80
0, 64, 98
0, 11, 98
0, 27, 83
1, 44
1, 84
2, 34, 38
2, 21
2, 92
2, 63
2, 93
2, 46
2, 80
3, 8, 26
4, 17, 46
4, 42, 67
4, 6, 30
4, 19, 96
4, 27, 98
5, 32
5, 82
6, 26, 62
6, 86, 90
6, 44
6, 32
6, 85
6, 70
6, 27
6, 24
7, 35
7, 26
7, 97
8, 35, 67
9, 11, 19
12, 74
12, 46
12, 85
12, 14
12, 42
13, 24, 35
13, 54
13, 87
14, 24, 42
16, 19, 82
18, 42
19, 84
20, 54
21, 57, 58
21, 64, 98
24, 45
24, 46
24, 80
24, 92
24, 38
26, 66
26, 47
26, 34
27, 67, 76
27, 66, 67
27, 82, 98
27, 44
27, 42
27, 82
27, 57
27, 54
28, 34, 77
28, 39, 96
28, 35
28, 54
28, 92
28, 37
29, 67
29, 48
29, 87
29, 59
29, 97
29, 73
29, 98
30, 92
30, 59
31, 82
33, 38
34, 44
37, 92
37, 87
37, 44
38, 54
40, 57
40, 48
41, 44
42, 74
42, 46
42, 97
42, 73
43, 55
43, 72
43, 97
43, 87
44, 66
44, 87
44, 50
44, 92
44, 68
46, 74, 98
46, 60
46, 51
46, 87
48, 64
53, 59
54, 85
54, 93
55, 87
55, 97
56, 80, 82
57, 72, 83
57, 84
59, 77
59, 82
59, 97
60, 92
60, 77
61, 75
62, 63, 64
63, 64
64, 87
64, 85
66, 78
72, 82
72, 78
72, 93
73, 92
79, 84
82, 90, 95
82, 87
84, 92
85, 86
87, 90
90, 92
91, 92
